-90426358G;OLHal2ZI;Nertie Boncore;8 Lakewood Trail;37,924152;-5,548795
-70124217T;ZAFmfUMihrS;Nelle Musker;79980 Moose Court;42,901405;-7,164972
247;17;37,617481:3,229804;37,459700:3,804102;25/3/2040 16:12;3375DJG
-45070693T;yPgC451weWr;Celestine Jamison;38 Algoma Plaza;37,724789;-2,011106
248;10;37,439375:3,787988;37,539201:3,140049;9/6/2056 16:12;3610CXA
249;6;37,642903:3,743461;37,640614:3,749657;20/3/2040 16:12;2137IOC
250;2;37,402173:3,204566;37,906827:3,195898;12/9/2051 16:12;5364FNA
251;4;37,700522:3,752861;37,289529:3,892605;13/1/2036 16:12;4190DCN
-43029787L;OQOZnD54;Shelton Brisker;57 Paget Circle;37,068256;-8,009664
252;44;37,217689:3,311899;37,872555:3,509323;8/10/2034 16:12;5317SEB
253;5;37,364971:3,170873;37,881588:3,374554;7/1/2036 16:12;2528UWK
-89589686Y;hjlfCgZU;Rafaelia Fliege;56 Carioca Plaza;38,244289;-4,925311
254;24;37,549303:3,499466;37,333171:3,044435;13/9/2028 16:12;4601TLK
255;52;37,520524:3,100650;37,360698:3,282296;10/3/2044 16:12;1500YFM
256;50;37,269295:3,331553;37,738426:3,664815;3/1/2058 16:12;5158HWG
257;7;37,986724:3,403088;37,825343:3,885189;25/8/2026 16:12;6827NBM
-50233375T;mF0MsHA;Linn Rowntree;6733 Thompson Road;37,391121;-4,218201
258;18;37,587970:3,402783;37,135105:3,416181;19/12/2035 16:12;1565YZN
259;11;37,668172:3,438856;37,677938:3,491806;28/6/2042 16:12;8531VVC
260;24;37,413648:3,426557;37,481552:3,185034;1/6/2055 16:12;1287ZXP
261;41;37,503800:3,316446;37,697897:3,539506;23/8/2058 16:12;1217GZV
-91060553W;0eglWTmU;Rodd Hugle;19 Rowland Plaza;41,927574;-7,952976
262;12;37,049348:3,334391;37,804407:3,243049;10/2/2021 16:12;0052CAS
263;59;37,097598:3,770318;37,248268:3,771172;10/12/2047 16:12;4260LLR
264;11;37,557451:3,026917;37,544816:3,927458;27/5/2041 16:12;5050LGE
-60389482N;RvzBt6SRLzi;Tarrah Bigglestone;7740 Stephen Park;39,595116;0,266618
265;51;37,001221:3,895749;37,939909:3,507523;31/10/2025 16:12;8621VAT
266;38;37,461409:3,996948;37,609699:3,227790;31/8/2023 16:12;5604DXQ
267;5;37,410169:3,896268;37,460067:3,215461;19/7/2052 16:12;7757NFE
268;43;37,590167:3,146336;37,685202:3,349834;20/3/2053 16:12;0453MRU
-41541688H;Jy3qyLQ7;Cash Walcar;77827 Grover Road;39,012825;1,210631
269;1;37,067019:3,405622;37,998474:3,543748;23/1/2026 16:12;0225OQN
270;30;37,432936:3,986847;37,986480:3,622883;15/6/2039 16:12;1987QNL
271;97;37,760887:3,995880;37,766076:3,249306;30/11/2050 16:12;7111DPV
-53682699E;FVByaY8bOhZV;Marillin Priden;07 Anthes Center;39,328552;2,372498
272;20;37,461318:3,014863;37,705435:3,602527;1/2/2022 16:12;6488YFB
273;39;37,237770:3,403119;37,407270:3,400555;11/4/2040 16:12;8431VKN
274;34;37,957915:3,229957;37,286477:3,432508;11/4/2024 16:12;7180FUS
275;30;37,177709:3,837611;37,954985:3,977599;18/3/2039 16:12;7800CWU
276;19;37,705161:3,630299;37,629200:3,883816;26/7/2049 16:12;6244RKZ
-67489028B;MW0FU3ZSO;Therese Sleford;9333 Golf Course Way;38,649395;-3,246104
277;1;37,113651:3,383038;37,819117:3,798914;9/6/2023 16:12;9735HKJ
-67812602R;mtPvaqj3;Frazer Ivimey;490 Mesta Trail;36,365547;0,111735
278;9;37,186895:3,435011;37,222266:3,501541;5/3/2026 16:12;2232NWV
279;5;37,539933:3,752647;37,240974:3,625111;15/11/2039 16:12;3432OND
280;66;37,267067:3,338084;37,725852:3,815332;15/1/2050 16:12;9145DGP
281;59;37,236000:3,179968;37,862423:3,474624;20/8/2052 16:12;9428NBX
282;54;37,919645:3,658406;37,237526:3,391247;2/3/2029 16:12;1839BQH
-69400121V;j2EgawAfru;Genevra Treker;25312 Onsgard Court;37,262291;-1,791282
283;81;37,496841:3,391217;37,270394:3,984710;25/4/2037 16:12;3531UGY
284;47;37,531144:3,894589;37,838130:3,430342;6/11/2037 16:12;5015ZVK
285;7;37,799493:3,467483;37,099673:3,561144;5/1/2021 16:12;8552KRW
286;29;37,082797:3,090060;37,219977:3,483444;4/3/2025 16:12;9026JLN
-22158782W;LDDj8lVWGTG1;Bert Maciejak;37 Sundown Plaza;38,787632;-2,366394
287;1;37,608875:3,226447;37,577593:3,723441;16/11/2045 16:12;4720WJV
288;87;37,065889:3,800317;37,119358:3,444990;15/6/2021 16:12;2425QUD
-28018123Z;rN0HvHlk;Edd Dartan;99 Old Shore Hill;38,710026;2,110811
289;19;37,084078:3,494858;37,340281:3,671438;20/9/2049 16:12;6166XVD
290;93;37,844447:3,072909;37,533097:3,327769;5/4/2020 16:12;0108VWN
-58406961G;avDUwCJN;Clovis Bains;0 Drewry Drive;36,045898;-8,387570
291;1;37,575884:3,338115;37,897214:3,693533;5/1/2036 16:12;8267OGT
292;4;37,289010:3,557634;37,734489:3,557054;15/2/2047 16:12;4428PXW
293;1;37,474319:3,833308;37,823145:3,915616;7/10/2019 16:12;0479TOH
-34731726H;4wv54nHY;Shurlock Pigden;23 Bartillon Alley;37,533657;-2,227096
294;39;37,407697:3,601886;37,978271:3,260659;8/2/2028 16:12;5801XJV
295;61;37,479171:3,758568;37,420545:3,940886;11/12/2023 16:12;3605FEB
296;1;37,500839:3,399304;37,160833:3,888241;19/3/2025 16:12;2662DFR
-61703975O;s6MDE5H;Shermy Keveren;90877 Bobwhite Alley;40,188969;-8,658143
297;38;37,818537:3,920194;37,091433:3,277627;27/5/2043 16:12;5801XJV
-52356600R;f4KLXEB;Cinnamon Petrenko;3246 Sauthoff Lane;40,790710;1,841949
298;21;37,860988:3,133610;37,312845:3,153478;1/10/2040 16:12;6972AND
299;32;37,536546:3,045503;37,919889:3,236030;11/8/2051 16:12;2857OZK
-73513469G;OTRDamWyZkM;Aloysia Agett;67 Straubel Place;40,973690;-1,977663
300;44;37,557756:3,114689;37,620960:3,751091;13/3/2027 16:12;8826JVR
301;6;37,737938:3,326518;37,138646:3,555284;27/12/2034 16:12;3006USD
-63456480W;j2JVIjpr;Suki Endley;863 Porter Trail;41,789055;-6,887251
302;2;37,210517:3,839015;37,818079:3,093142;23/11/2029 16:12;3531KBG
303;17;37,265358:3,343547;37,450392:3,641987;17/1/2036 16:12;2032AEN
304;21;37,459304:3,885098;37,122959:3,310556;27/4/2041 16:12;8889BXC
-09541174Q;T9qMR4j;Oralla Vidgen;297 Eliot Hill;38,481682;-9,002392
305;31;37,775628:3,237678;37,751701:3,489059;4/2/2055 16:12;7757NFE
306;31;37,209510:3,522141;37,812067:3,067446;27/2/2046 16:12;8409QBU
307;46;37,633717:3,689657;37,234870:3,803003;19/11/2030 16:12;1174LRH
-88031259I;wFX8zvs9;Sadella Hallwood;36 Sunnyside Way;37,520237;-7,587200
308;77;37,076937:3,596484;37,462630:3,835688;13/3/2025 16:12;6355JDI
309;56;37,919767:3,687216;37,793664:3,121647;12/5/2050 16:12;0520DLR
310;2;37,463240:3,633503;37,959868:3,741752;24/9/2029 16:12;5296YFM
-07967460Z;8KZs9TcUm1U;Brig Cuzen;9 Hazelcrest Lane;41,512051;-3,242017
311;21;37,406598:3,303873;37,379254:3,386486;19/12/2042 16:12;8409QBU
312;23;37,511948:3,939726;37,747124:3,373852;29/1/2055 16:12;4598YHI
313;42;37,254402:3,924863;37,140690:3,364391;27/3/2049 16:12;2133MSF
-75747548Y;tbhbSfPB;Sandy Tipper;0 Ramsey Terrace;36,947140;-2,727067
314;13;37,594440:3,934263;37,237037:3,658193;22/4/2021 16:12;7507NLP
315;63;37,410443:3,986877;37,166570:3,635762;5/1/2049 16:12;4445OVB
-96574725N;bdhqPsZP;Wallie Polsin;191 Fieldstone Avenue;36,565025;-6,883134
316;59;37,115543:3,759087;37,786584:3,903348;9/12/2044 16:12;0747XMT
317;20;37,463027:3,772423;37,755852:3,648701;7/6/2030 16:12;5245CZW
318;11;37,893674:3,554613;37,878872:3,264077;30/5/2040 16:12;9157XQD
319;55;37,148442:3,321146;37,342448:3,618366;29/5/2025 16:12;2218VAL
-57388100R;g13efux;Moshe Prickett;49418 4th Point;42,935585;-6,916687
320;3;37,350871:3,710257;37,435652:3,917508;5/2/2037 16:12;6622URZ
-95050076P;IKCH3EuD;Jerrold Clinch;8 Macpherson Drive;41,707790;-1,022612
321;30;37,676046:3,033174;37,349590:3,703146;27/10/2021 16:12;1422MXW
322;83;37,148564:3,795190;37,450972:3,800256;22/2/2021 16:12;7104QUX
323;89;37,958892:3,661550;37,052675:3,702048;27/8/2031 16:12;4783AVD
324;73;37,144139:3,587024;37,110935:3,240852;24/8/2052 16:12;3217QKB
325;58;37,833125:3,989929;37,039644:3,322916;21/10/2025 16:12;0453MRU
-98130950C;GhezZ8TB;Gaspard Anthoine;03 Old Shore Road;36,720261;-8,933426
326;67;37,488571:3,023286;37,308145:3,035005;29/6/2030 16:12;8417IKW
327;63;37,738090:3,458113;37,738639:3,906827;3/8/2054 16:12;3536WZR
328;37;37,775689:3,651448;37,448012:3,086245;19/6/2056 16:12;1116AMA
329;2;37,219092:3,584735;37,577410:3,024689;15/4/2033 16:12;0539ELS
-92589092A;IKm8ZMWF8EX;Shawna Scrowson;83501 Manufacturers Terrace;41,488564;-3,024869
330;1;37,150121:3,862972;37,606342:3,410566;28/5/2048 16:12;6205XOW
331;50;37,370434:3,986663;37,694845:3,815546;11/4/2029 16:12;1123GLI
332;13;37,502945:3,408734;37,153142:3,121067;3/10/2031 16:12;5539NKY
333;4;37,306192:3,784356;37,647084:3,113407;19/7/2031 16:12;8621VAT
-33684643H;EC3PCvkwLD;Jean Varns;61419 Independence Alley;41,878826;-6,244535
334;66;37,702322:3,792322;37,491592:3,694235;17/10/2043 16:12;3172ALU
-34052014O;pcjlyALjCAy;Abbie Kollasch;4600 Claremont Alley;36,240578;1,605224
335;73;37,277841:3,367870;37,574297:3,937681;23/11/2056 16:12;7091XCH
-06904529O;KiGATL;Gwenni Adamczyk;3856 Mandrake Place;37,529354;-3,961546
336;3;37,593005:3,313089;37,454726:3,349467;16/4/2038 16:12;1721FWH
337;83;37,297983:3,329264;37,680349:3,978576;25/1/2021 16:12;3744FAK
338;42;37,633656:3,319010;37,141789:3,471480;22/6/2032 16:12;2330FUU
339;7;37,002289:3,201392;37,545152:3,230110;14/5/2056 16:12;2597OIZ
-90669016A;0MFCcvB;Tracee McCurtin;1 Sycamore Way;43,072617;0,585617
340;48;37,162938:3,213446;37,175817:3,419172;6/9/2028 16:12;2844WZT
341;6;37,535905:3,547716;37,935301:3,298441;2/11/2042 16:12;6827NBM
342;84;37,386608:3,088748;37,674612:3,313395;3/11/2049 16:12;2775IEN
343;52;37,597552:3,048921;37,288217:3,606189;21/3/2021 16:12;9396HPW
-12646721N;nPqXFN;Ewan Winch;186 Claremont Trail;39,212730;-9,038921
344;49;37,956328:3,827174;37,793756:3,330088;5/10/2022 16:12;8194PQX
345;21;37,880856:3,638203;37,414289:3,979675;1/5/2028 16:12;3320ASW
-42413666X;eOz1TBUoj;Ariadne Grane;56 Arizona Way;39,073204;-2,983610
346;48;37,315561:3,776666;37,958159:3,373089;7/8/2032 16:12;2767XGY
-54099554E;c07wF7k0Y;Merell Meade;87 Delladonna Center;38,546516;1,694278
347;24;37,229499:3,421583;37,729575:3,079806;19/5/2021 16:12;5605HQC
348;45;37,583636:3,293741;37,975524:3,306589;9/11/2031 16:12;0338CZG
-90011071F;8J6HwaExE;Nessy Mariotte;69 Lukken Point;40,920891;-3,961554
349;41;37,334117:3,349406;37,993286:3,725913;13/8/2036 16:12;1421CUB
350;51;37,813349:3,842158;37,301737:3,137425;31/8/2047 16:12;9650VXX
351;4;37,778436:3,438948;37,088198:3,159703;10/3/2026 16:12;7252AES
352;11;37,089724:3,770470;37,456221:3,926176;2/12/2044 16:12;4686CWH
-92416061S;2hXL7Ky;Olag McCaig;3288 Holmberg Avenue;43,208275;0,080296
353;39;37,512009:3,514023;37,256233:3,951872;16/3/2046 16:12;5352TRC
354;9;37,477065:3,592822;37,204901:3,417890;20/1/2054 16:12;2116CEF
-56906982U;jRIRLE;Gram Menichillo;2598 Prentice Hill;39,507774;-8,064720
355;56;37,293924:3,250771;37,141087:3,634571;14/7/2050 16:12;8585CLO
356;11;37,045839:3,833491;37,527329:3,679189;20/4/2034 16:12;5386KDU
357;27;37,631916:3,514542;37,910337:3,561663;23/8/2049 16:12;2972PFD
-76399038K;9rXSpWC;Roxanna Russ;8320 Donald Place;36,666660;1,462124
358;9;37,041475:3,663106;37,731010:3,495804;17/9/2033 16:12;3839DLR
359;28;37,560411:3,812860;37,198675:3,671773;26/9/2036 16:12;0912YNK
360;58;37,892605:3,540117;37,507004:3,780175;28/4/2029 16:12;3531UGY
361;22;37,444258:3,001038;37,750175:3,417768;16/6/2052 16:12;5761SMD
-19486000L;rU86baHgPSeb;Brose Caws;0227 Manley Avenue;42,419655;-7,012753
362;63;37,390728:3,644581;37,636402:3,073824;23/2/2027 16:12;8898BQK
363;5;37,899136:3,717277;37,810450:3,404401;19/5/2026 16:12;2528UWK
364;34;37,078066:3,153111;37,292581:3,807306;4/6/2022 16:12;8142OEA
365;29;37,243965:3,133213;37,884335:3,148900;14/6/2035 16:12;1922DAR
366;53;37,421461:3,449202;37,175970:3,034577;11/3/2050 16:12;1499OLO
-70415987G;omHxtIVAB5;Elisha Denyakin;2939 Oakridge Avenue;36,584003;-4,825920
367;21;37,686514:3,408551;37,217048:3,158147;24/4/2044 16:12;8447ZYI
368;25;37,437910:3,359569;37,884182:3,772698;23/8/2021 16:12;7056NXS
369;84;37,494339:3,602161;37,625965:3,421766;5/5/2024 16:12;5315PPD
370;27;37,581561:3,572649;37,340648:3,005829;11/4/2036 16:12;6024TDO
-48724089I;LnHugTDD;Phedra Blaw;119 Crowley Point;40,563255;2,557791
371;12;37,704398:3,317789;37,835322:3,155675;23/11/2049 16:12;2822RED
372;18;37,196448:3,489608;37,798120:3,467025;12/6/2055 16:12;6982KFR
-36143844G;KGs4MvvkI;Myrle Frankom;005 Moland Pass;38,966454;-7,363124
373;22;37,066378:3,654744;37,047914:3,244819;25/10/2022 16:12;6389QTG
374;48;37,137089:3,048738;37,772301:3,036439;24/2/2020 16:12;5801XJV
-12909833U;tMObAW5;Geneva Falconbridge;5 Huxley Terrace;41,851170;-1,984657
375;6;37,978332:3,329142;37,313913:3,553179;4/12/2053 16:12;0068SDF
376;28;37,741325:3,057344;37,840754:3,233497;8/10/2042 16:12;2218VAL
377;29;37,080386:3,443159;37,729606:3,972289;20/9/2029 16:12;8604VVO
-78891306E;Mea6GNy5Bs8;Gunner Celler;19 Burning Wood Parkway;39,929882;0,877018
378;21;37,764672:3,949156;37,359813:3,956816;24/10/2031 16:12;8142OEA
379;32;37,682363:3,438551;37,487014:3,666005;9/8/2022 16:12;2050BCE
380;13;37,370403:3,450331;37,948454:3,077517;20/10/2035 16:12;4716ZYZ
381;9;37,616871:3,652211;37,969909:3,474410;1/3/2037 16:12;7087PXY
-89544437Y;zEhEhgcqNGC;Shelley Satchel;2022 Summit Circle;38,007317;0,718307
382;2;37,054384:3,386303;37,444960:3,242714;23/10/2038 16:12;7088CVC
383;3;37,813715:3,587024;37,245979:3,534562;28/11/2038 16:12;7376RMN
384;24;37,322581:3,270028;37,046480:3,037141;5/7/2025 16:12;7084WFU
-64491088M;bcQm6H;Cesya Dugall;6994 Cherokee Alley;35,941460;0,889983
385;62;37,688864:3,887631;37,348674:3,471206;30/1/2036 16:12;8562UFH
386;11;37,848720:3,485305;37,477432:3,808893;21/2/2048 16:12;8054OGU
-50976983W;t13ZD8LghpI;Artemas Giorgi;745 Barby Court;36,195415;-7,428864
387;15;37,173864:3,795587;37,803827:3,647877;24/12/2053 16:12;9235OIA
388;1;37,331400:3,993530;37,394910:3,877102;3/8/2049 16:12;0052UME
389;46;37,965819:3,324778;37,971007:3,245552;21/6/2044 16:12;7472QDC
390;9;37,540452:3,829066;37,661519:3,360973;15/8/2055 16:12;6646PZT
391;43;37,355022:3,927091;37,856960:3,466964;17/5/2047 16:12;8400NEN
-97430284T;j5c92o;Georgina MacHostie;1790 Sullivan Hill;37,424767;0,946602
392;50;37,484085:3,985992;37,582507:3,391369;13/1/2055 16:12;1932PPB
393;15;37,875942:3,078402;37,123142:3,341258;26/7/2056 16:12;6224HSQ
394;9;37,314463:3,644887;37,720634:3,264382;29/7/2041 16:12;2223KUX
395;23;37,915799:3,176855;37,591571:3,974883;6/8/2038 16:12;8621LHO
396;17;37,366558:3,849971;37,421644:3,443373;9/1/2038 16:12;7359JUR
-56197668K;WMW2GP;Hadria Ramet;7566 Grasskamp Terrace;36,559769;-0,448506
397;13;37,571154:3,197211;37,723045:3,803522;28/6/2030 16:12;8048KPZ
398;72;37,463515:3,830226;37,084475:3,059481;11/4/2047 16:12;7056NXS
399;52;37,423536:3,647328;37,355907:3,360210;30/12/2036 16:12;3744FAK
400;7;37,756096:3,199438;37,660787:3,176641;8/5/2027 16:12;9397ZHV
401;10;37,184057:3,698996;37,830805:3,773827;5/9/2044 16:12;6982KFR
-02305296C;qXZyT2Bz5B;Cordelia Sealeaf;55 Charing Cross Hill;42,892239;-7,951728
402;5;37,738243:3,631306;37,185736:3,258492;11/12/2030 16:12;7969ZOQ
403;43;37,234138:3,704642;37,292367:3,627949;25/3/2025 16:12;8703NTK
404;21;37,016388:3,903928;37,897855:3,817835;3/4/2048 16:12;8400NEN
405;76;37,688986:3,008911;37,057924:3,582141;16/11/2021 16:12;4302UFG
406;52;37,363231:3,594806;37,533128:3,245552;18/10/2024 16:12;1340RQO
-09360612S;y6gi5eE0UeC;Tilda Mazillius;8356 Green Point;35,911999;-6,399368
407;7;37,428571:3,276254;37,542192:3,191473;21/9/2037 16:12;6990EZN
-42974664Q;7zLzeqSKZf;Elli Swyer-Sexey;87304 Moulton Trail;36,292122;-7,700395
408;6;37,995483:3,588763;37,856563:3,389691;15/10/2036 16:12;3610CXA
409;2;37,885434:3,982727;37,363964:3,348888;18/1/2052 16:12;8005DBT
-46694850V;22ojV1xlc04;Lotty Hurdiss;68610 Southridge Drive;36,539707;-9,234733
410;39;37,875668:3,005493;37,909299:3,877926;10/3/2044 16:12;2726ZYY
411;7;37,287606:3,275735;37,879025:3,431074;23/11/2034 16:12;6596PCM
412;31;37,935636:3,565081;37,689993:3,414655;22/8/2029 16:12;6198LYS
413;51;37,436964:3,711447;37,877407:3,685720;14/12/2040 16:12;0981WCB
-92305187F;xhDmtZmnq;Rakel Woolf;12666 Fairfield Road;40,452003;-1,485416
414;17;37,830683:3,751640;37,315989:3,677602;1/1/2042 16:12;8005DBT
415;17;37,160802:3,922758;37,860683:3,873409;14/5/2024 16:12;5095CDH
416;17;37,855403:3,174383;37,303903:3,821894;11/8/2034 16:12;9205NRZ
417;1;37,751244:3,689169;37,022279:3,576342;12/3/2023 16:12;5956UQS
418;39;37,325816:3,633503;37,029756:3,660207;8/2/2019 16:12;4416AAY
-44353246Y;1XfWC6cDbhFP;Warner Ouver;3 Lien Point;42,886921;-7,787686
419;7;37,172643:3,009217;37,881863:3,548723;11/4/2052 16:12;8953JEG
420;33;37,209387:3,980132;37,104129:3,327067;4/9/2052 16:12;5598WEL
-27719551M;Qw85neS;Aubine Bubear;7 Scott Way;40,662476;-1,297879
421;6;37,535234:3,098972;37,890927:3,497147;9/1/2024 16:12;3394LRU
422;36;37,637196:3,297098;37,432814:3,776910;29/12/2025 16:12;5598WEL
423;11;37,142369:3,013306;37,399091:3,776177;26/8/2054 16:12;9896QXF
-93252503Y;s4Tfmy;Igor Binley;0278 Huxley Avenue;39,837078;0,191024
424;82;37,751793:3,698141;37,000244:3,651082;14/11/2049 16:12;4637IGS
425;6;37,293405:3,032411;37,999634:3,242988;22/7/2042 16:12;8763FBN
426;57;37,302896:3,135319;37,751427:3,486801;3/1/2044 16:12;5630YVJ
-42258357Z;WZXjaZ;Onofredo Finnis;62 Glacier Hill Avenue;36,139339;-4,898455
427;67;37,504044:3,189306;37,501938:3,714438;17/11/2020 16:12;5386CMX
428;17;37,749504:3,747673;37,811945:3,056032;22/8/2057 16:12;1044LDU
-06755796M;XvMdgLJMf;Nial Betteney;339 Meadow Valley Crossing;39,327518;-0,332857
429;25;37,402997:3,330180;37,285134:3,732322;7/10/2022 16:12;7068EEE
-36246155Q;vbteUoryLxoA;Darda Rive;6 Bay Trail;42,818066;-6,637744
430;1;37,997375:3,048097;37,542894:3,215522;12/10/2058 16:12;2792EQL
431;76;37,960601:3,754753;37,407758:3,926786;7/8/2043 16:12;4637IGS
432;26;37,146977:3,950041;37,078585:3,724448;20/6/2048 16:12;5770UAD
433;35;37,227271:3,912442;37,502213:3,720786;30/11/2048 16:12;2266LVV
-93813205I;gJqbkwIdINV;Olympia Chiverstone;57 Linden Lane;36,191380;-2,871236
434;51;37,279946:3,543535;37,682577:3,226081;13/5/2020 16:12;3049YGR
-90842751Y;ihKAJb1bIs;Marian Kubicki;80 Butternut Avenue;39,752068;-4,835219
435;6;37,641987:3,523576;37,642994:3,683340;17/4/2051 16:12;5318MRQ
436;39;37,652944:3,130314;37,681936:3,947386;23/4/2027 16:12;7800CWU
437;71;37,263955:3,801569;37,714957:3,619037;26/8/2057 16:12;0071BPS
-33174944T;bonazdK;Jacynth Grunson;7 Carey Street;42,350693;-5,673737
438;38;37,602313:3,501846;37,571276:3,053713;13/8/2035 16:12;0506LOE
439;1;37,911527:3,688101;37,031861:3,518906;27/7/2056 16:12;4837CUS
-20579778G;8ohMMD;Dorisa Scarsbrick;3 Tennessee Plaza;42,959206;-4,688673
440;40;37,045015:3,673513;37,745048:3,436720;9/4/2024 16:12;0919LVR
441;29;37,490707:3,162328;37,617115:3,120243;7/3/2056 16:12;8953JEG
442;70;37,904111:3,824305;37,951537:3,417768;3/9/2052 16:12;2223KUX
-92075128U;UqzH6qwc;Jessica Espinha;32448 Cody Plaza;38,844536;-2,405509
443;28;37,084017:3,728233;37,900754:3,912931;24/7/2038 16:12;0167BZV
444;18;37,507187:3,116459;37,063173:3,318247;23/7/2025 16:12;5743BDW
445;75;37,294076:3,762658;37,789026:3,649678;13/2/2035 16:12;0218ZIU
-66084962F;TjV1kx5x;Nikolaus Northill;0 Northport Road;36,261425;-4,191247
446;38;37,406018:3,779504;37,896603:3,686056;27/7/2043 16:12;8523ZPP
447;90;37,152318:3,885861;37,729484:3,459243;12/8/2054 16:12;2862NRY
448;25;37,377270:3,828761;37,843501:3,101779;18/2/2044 16:12;6942WEU
449;54;37,882199:3,040345;37,433424:3,329447;3/8/2036 16:12;6718DMK
450;9;37,472365:3,410138;37,899930:3,479171;8/2/2031 16:12;4014HKJ
-34694408B;VPpwTakFlMFO;Salvador Dallander;09310 Trailsway Road;36,168251;-0,579356
451;70;37,789758:3,432112;37,511765:3,461867;14/9/2054 16:12;6110BBM
452;90;37,888546:3,168340;37,377178:3,038942;14/1/2026 16:12;9145DGP
453;50;37,107425:3,213263;37,114963:3,376965;6/5/2057 16:12;9555SVF
-63125307G;318oel;Gardner Glabach;442 Basil Court;36,079071;-2,454425
454;54;37,831904:3,299326;37,894986:3,133335;22/12/2028 16:12;3898BWF
-90752265J;yrZ5LJCYTVB;Patrica Sams;11126 International Road;39,234024;-0,659325
455;1;37,839686:3,605884;37,582659:3,756005;16/7/2047 16:12;3766DFP
456;61;37,811151:3,543626;37,529344:3,186834;24/12/2051 16:12;2952YYK
457;13;37,232032:3,495651;37,680929:3,210547;11/6/2027 16:12;0456WOV
458;1;37,610645:3,046693;37,533982:3,231910;31/1/2055 16:12;2662DFR
-88942251D;WsT520H;Mildrid Crowest;2 Debs Road;42,955742;-1,588881
459;7;37,502029:3,932768;37,400464:3,674581;21/9/2019 16:12;7507NLP
460;11;37,313517:3,187445;37,341105:3,173559;20/2/2055 16:12;0955KLU
461;5;37,827052:3,936827;37,689138:3,938444;4/4/2040 16:12;5006LUF
-96287689H;WsgGHLfQ5fKK;Erminia Chape;218 Bashford Hill;35,903206;-0,771082
462;7;37,426618:3,446974;37,975616:3,430525;8/11/2051 16:12;9103EPH
463;36;37,625843:3,725120;37,570940:3,658528;25/8/2019 16:12;0927JVD
464;14;37,292611:3,663320;37,333201:3,189459;26/11/2044 16:12;0672VCI
465;78;37,097446:3,839167;37,255013:3,468917;19/9/2036 16:12;4302UFG
466;49;37,557451:3,964904;37,018983:3,369304;23/1/2023 16:12;9321VFT
-70175171Z;uKztYCktP3;Taryn Annakin;67331 Glacier Hill Plaza;36,647144;-3,411265
467;35;37,361614:3,011658;37,623218:3,756859;10/2/2055 16:12;9265BQB
468;19;37,479843:3,492416;37,198309:3,145238;1/5/2054 16:12;8758KXO
469;11;37,564714:3,740440;37,997955:3,936583;22/7/2042 16:12;5824STJ
470;18;37,680532:3,315226;37,612354:3,074038;28/7/2040 16:12;8845LAX
-20938619H;sfqgcr;Demetra Claessens;276 Paget Trail;36,126213;-5,341125
471;24;37,369610:3,674612;37,524277:3,683523;16/6/2049 16:12;8431VKN
-59470240G;OMcPUikW;Nadean Philipart;70 Dixon Hill;38,310307;3,017277
472;61;37,641713:3,065493;37,208411:3,133091;24/6/2035 16:12;2032AEN
473;1;37,458754:3,206793;37,035646:3,823939;14/12/2034 16:12;7095YDX
-28020927X;ank0ak;Marc Rushton;23 Menomonie Lane;37,623199;-5,331069
474;33;37,274056:3,203192;37,946593:3,631886;8/6/2033 16:12;0539ELS
-59863803P;cQWF6X8wPPL;Anya Spurgin;8 Manufacturers Way;36,262306;-5,888444
475;72;37,042146:3,499588;37,161901:3,806726;8/6/2056 16:12;8205YIE
476;23;37,975951:3,750694;37,722556:3,284555;4/11/2038 16:12;8931FHS
477;21;37,368023:3,677664;37,658925:3,270119;18/2/2019 16:12;4814XOY
478;28;37,564135:3,069796;37,407910:3,718192;9/7/2043 16:12;7110OYT
479;35;37,696890:3,592181;37,078982:3,237678;8/7/2040 16:12;1190OJD
-00833617Q;83NUGiaL9;Loretta McKew;620 Dorton Trail;36,221859;-3,057243
480;45;37,949370:3,371563;37,249062:3,042024;11/7/2037 16:12;0123YOS
-52787365D;XIPrE0HW;Adolpho Pothecary;32 Ilene Alley;37,799168;-5,833445
481;15;37,932493:3,818323;37,912046:3,990631;16/7/2021 16:12;9793OCR
482;27;37,393262:3,280709;37,396039:3,302286;8/8/2055 16:12;6830JLE
